#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#group,false,false,true,true,false,false,true,true,true
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,sensor
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T19:00:05.615031568Z,0.9589042634357738,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T19:10:04.381953743Z,0.8721516159550768,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T19:20:05.049098262Z,0.7627732779931029,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T19:30:05.547677682Z,0.8053995788445693,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T19:40:05.26802667Z,0.8088996856593524,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T19:50:04.645187723Z,0.649769829401532,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T20:00:05.704433328Z,0.7041464888454848,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T20:10:04.722390857Z,0.6037684255500961,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T20:20:09.358015881Z,0.27775847651600694,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T20:30:05.66750229Z,0.7921491744743187,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T20:40:04.386862369Z,0.2372572405163732,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T20:50:04.715032853Z,0.2550077822199164,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T21:00:05.885061021Z,0.2283819696646016,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T21:10:04.588190275Z,0.23700723288674583,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T21:20:05.398195308Z,0.5748925443281351,voltage,Sensor_Readings,Light
,,0,2024-05-16T14:29:16.139601036Z,2024-06-15T14:29:16.139601036Z,2024-05-19T21:30:05.424966366Z,0.31750968962675863,voltage,Sensor_Readings,Light
